id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1051993550752701910,Private 2-Bed Ensuite Room Near Subway & Yorkdale,107721016,Daniel,,Clanton Park,43.74977263047024,-79.45486807269896,Private room,85,28,0,,,11,351,0,
1054477529935527500,Vihome-Double room near Sheppard Leslie,551613279,Kai Yuan,,Bayview Village,43.767563890932884,-79.36078793357623,Private room,87,28,0,,,9,269,0,
1052173325653306725,Cozy Home Downtown Toronto,549342439,Angie,,Kensington-Chinatown,43.65203383284352,-79.40127367587988,Entire home/apt,,28,0,,,24,0,0,
1054486620806300543,The Oxford house!,552587881,Maire,,Kensington-Chinatown,43.65641339844793,-79.40233165867183,Entire home/apt,300,28,0,,,1,269,0,
1052176020836469786,Comfy Home Downtown Toronto,549342439,Angie,,Kensington-Chinatown,43.65317,-79.39978,Entire home/apt,60,28,0,,,24,178,0,
1052178257392327145,Bright 3-bedroom in North York,469336904,Asad Ul,,Humbermede,43.7465411611744,-79.5527338978624,Entire home/apt,155,2,3,2024-01-28,1.80,2,196,3,STR-2208-HZYPHM
1054493389238560230,Comfy second floor room near Warden subway station,124636084,Weiwei,,Clairlea-Birchmount,43.70547230858669,-79.27505337184097,Private room,56,1,0,,,1,264,0,STR-2312-FFVXVP
1052190582639019046,A Room in Modern & Homely Suit,370637933,Mahsa,,Willowdale East,43.756917813952484,-79.40841553981844,Private room,73,28,0,,,1,254,0,
1054548870914169523,2-Bedroom Suite with a Terrace,536983374,Izaias,,Niagara,43.6408455,-79.4143193,Entire home/apt,400,28,0,,,1,269,0,
1052213781746934044,Spacious Private Bedroom Close to Subway Toronto,536050252,Kai,,Kensington-Chinatown,43.654145064673486,-79.40620057128359,Private room,31,28,0,,,21,154,0,
1054660281029651037,Shared Modern Condo DT Toronto near Village,533329936,Matthew,,North St.James Town,43.66763347968459,-79.37721238024679,Shared room,64,28,0,,,1,269,0,STR-2308-HTZHHY
1052215201797770460,Rouge Beach Cozy “Non Smoking” Studio Apartment,155230504,Paul,,Rouge,43.79812,-79.13853,Entire home/apt,49,28,1,2024-01-26,1,8,291,1,
1052255678429735820,Cozy 2 bed Condo in Heart of Toronto,134932570,Yini,,Church-Yonge Corridor,43.65584,-79.37706,Entire home/apt,200,1,1,2024-01-17,1,1,90,1,STR-2308-HQYDVX
1054671624557748455,Warm bright room at York U,325656364,Shane,,York University Heights,43.76858,-79.49805,Private room,89,1,0,,,8,269,0,STR-2201-FWQXVD
1054687356881345436,Queen Room with Private Bath Near Subway & YorkU,107721016,Daniel,,Bathurst Manor,43.75202102987647,-79.4553021411685,Private room,58,28,0,,,11,350,0,
1054712811101407309,Cozy Queen Room with Bath Near Subway & YorkU,107721016,Daniel,,Clanton Park,43.74997,-79.45379,Private room,58,28,0,,,11,308,0,
1054950446127367077,Private bedroom & bathroom in downtown TO,148913946,Jala,,Waterfront Communities-The Island,43.64858,-79.39658,Private room,116,5,0,,,2,74,0,STR-2112-FKCXVB
1052260822725803988,Centrally located guesthouse,234576740,Dan,,Dufferin Grove,43.6560971,-79.4304141,Entire home/apt,110,28,0,,,3,173,0,
1052289741201708170,"2BR Sunnyside TO Skyline | Lakeview, Pool, Tennis",40506458,Matthew,,South Parkdale,43.6354980580024,-79.46797272715553,Entire home/apt,150,28,0,,,3,185,0,
